AMAZON.StopIntent	stop
AMAZON.CancelIntent	cancel
AMAZON.HelpIntent	help
StartIntent	start {one|number}
StartIntent	start {two|number}
StartIntent	start {three|number}
StartIntent	start {four|number}
StartIntent	start {five|number}
StartIntent	start {six|number}
StartIntent	start {seven|number}
StartIntent	start {eight|number}
StartIntent	start {nine|number}
StartIntent	start {ten|number}
StartIntent	start {eleven|number}
StartIntent	start {twelve|number}
StartIntent	start {thirteen|number}
StartIntent	start {fourteen|number}
StartIntent	start {fifteen|number}
StartIntent	start {sixteen|number}
StartIntent	start {seventeen|number}
StartIntent	start {eighteen|number}
StartIntent	start {nineteen|number}
StartIntent	start {twenty|number}
StartIntent	start {twenty one|number}
StartIntent	start {twenty two|number}
StartIntent	start {twenty three|number}
StartIntent	start {twenty four|number}
StartIntent	start {twenty five|number}
StartIntent	start {twenty six|number}
StartIntent	start {twenty seven|number}
StartIntent	start {twenty eight|number}
StartIntent	start {twenty nine|number}
StartIntent	start {thirty|number}
StartIntent	start {thirty one|number}
StartIntent	start {thirty two|number}
StartIntent	start {thirty three|number}
StartIntent	start {thirty four|number}
StartIntent	start {thirty five|number}
StartIntent	start {thirty six|number}
StartIntent	start {thirty seven|number}
StartIntent	start {thirty eight|number}
StartIntent	start {thirty nine|number}
StartIntent	start {forty|number}
StartIntent	start {forty one|number}
StartIntent	start {forty two|number}
StartIntent	start {forty three|number}
StartIntent	start {forty four|number}
StartIntent	start {forty five|number}
StartIntent	start {forty six|number}
StartIntent	start {forty seven|number}
StartIntent	start {forty eight|number}
StartIntent	start {forty nine|number}
StartIntent	start {fifty|number}
StartIntent	start {fifty one|number}
StartIntent	start {fifty two|number}
StartIntent	start {fifty three|number}
StartIntent	start {fifty four|number}
StartIntent	start {fifty five|number}
StartIntent	start {fifty six|number}
StartIntent	start {fifty seven|number}
StartIntent	start {fifty eight|number}
StartIntent	start {fifty nine|number}
StartIntent	start {sixty|number}
StartIntent	start {sixty one|number}
StartIntent	start {sixty two|number}
StartIntent	start {sixty three|number}
StartIntent	start {sixty four|number}
StartIntent	start {sixty five|number}
StartIntent	start {sixty six|number}
StartIntent	start {sixty seven|number}
StartIntent	start {sixty eight|number}
StartIntent	start {sixty nine|number}
StartIntent	start {seventy|number}
StartIntent	start {seventy one|number}
StartIntent	start {seventy two|number}
StartIntent	start {seventy three|number}
StartIntent	start {seventy four|number}
StartIntent	start {seventy five|number}
StartIntent	start {seventy six|number}
StartIntent	start {seventy seven|number}
StartIntent	start {seventy eight|number}
StartIntent	start {seventy nine|number}
StartIntent	start {eighty|number}
StartIntent	start {eighty one|number}
StartIntent	start {eighty two|number}
StartIntent	start {eighty three|number}
StartIntent	start {eighty four|number}
StartIntent	start {eighty five|number}
StartIntent	start {eighty six|number}
StartIntent	start {eighty seven|number}
StartIntent	start {eighty eight|number}
StartIntent	start {eighty nine|number}
StartIntent	start {ninety|number}
StartIntent	start {ninety one|number}
StartIntent	start {ninety two|number}
StartIntent	start {ninety three|number}
StartIntent	start {ninety four|number}
StartIntent	start {ninety five|number}
StartIntent	start {ninety six|number}
StartIntent	start {ninety seven|number}
StartIntent	start {ninety eight|number}
StartIntent	start {ninety nine|number}
StartIntent	start {one hundred|number}
MomIntent	to buy me an elephant
